Name,,Units,,Total Price,,Purchase link,,,,,Total:
Raspberry Pi Pico,,1,,$5 ,,https://www.adafruit.com/product/5525,,,,,$90 
Potentiometer Slider,,1,,$1.95 ,,https://www.adafruit.com/product/4272 ,,,,,
TFT screen,,1,,$19.95 ,,https://www.adafruit.com/product/358 ,,,,,
Rotary encoder,,1,,$4.50 ,,https://www.adafruit.com/product/377 ,,,,,
MPR121 Capacitive Touch Board,,1,,$7.95 ,,https://www.adafruit.com/product/1982 ,,,,,
DAC,,1,,$2.13 ,,https://www.digikey.com/en/products/detail/microchip-technology/MCP4802-E-P/2332807,,,,,
Breadboards,,3,,$18 ,,https://www.adafruit.com/product/239,,,,,
Headphone Jack,,1,,$0.95 ,,https://www.adafruit.com/product/1699,,,,,
Push Buttons,,4,,$5.95 ,,https://www.adafruit.com/product/1010 ,,,,,
1 uF Capacitor,,2,,$0.94 ,,https://www.digikey.com/en/products/detail/nichicon/UVP2A010MDD1TD/4328927,,,,,
10K Ohm Resistors,,2,,$0.75 ,,https://www.adafruit.com/product/2784,,,,,
100K Ohm Resistor,,1,,$0.75 ,,https://www.adafruit.com/product/2787,,,,,
90 degree male header pins,,4,,$5.95 ,,https://www.adafruit.com/product/1541,,,,,
Jumper cables,,38,,$5 ,,https://www.adafruit.com/product/153,,,,,
Metal Plate for Piano Keys,,1,,$0 ,,From Breadboards,,,,,
Cardboard,,1,,$5 ,,,,,,,
Wire,,1,,$5 ,,,,,,,
